team,merge_team
North Carolina,UNC
North Carolina A&T,North Carolina A&T
North Carolina Central,North Carolina Central
North Dakota,North Dakota
North Dakota State,North Dakota State
North Florida,North Florida
North Texas,North Texas
Northeastern,Northeastern
Northern Arizona,Northern Arizona
Northern Colorado,Northern Colorado
Northern Illinois,Northern Illinois
Northern Iowa,Northern Iowa
Northern Kentucky,Northern Kentucky
Northwestern,Northwestern
Northwestern State,Northwestern State
Notre Dame,Notre Dame
Oakland,Oakland
Ohio,Ohio
Ohio State,Ohio State
Oklahoma,Oklahoma
Oklahoma State,Oklahoma State
Old Dominion,Old Dominion
Oral Roberts,Oral Roberts
Oregon,Oregon
Oregon State,Oregon State
Pacific,Pacific
Penn State,Penn State
Pennsylvania,Penn
Pepperdine,Pepperdine
Pittsburgh,Pitt
Portland,Portland
Portland State,Portland State
Prairie View,Prairie View
Princeton,Princeton
Providence,Providence
Purdue,Purdue
Radford,Radford
Rhode Island,Rhode Island
Richmond,Richmond
Rider,Rider
Robert Morris,Robert Morris
Rutgers,Rutgers
Saint Francis (PA),Saint Francis (PA)
Saint Joseph's,St. Joseph's
Saint Louis,Saint Louis
Saint Mary's (CA),Saint Mary's
Saint Peter's,St. Peter's
Sam Houston State,Sam Houston State
Samford,Samford
San Diego,San Diego
San Diego State,San Diego State
San Francisco,San Francisco
San Jose State,San Jose State
Santa Clara,Santa Clara
Seton Hall,Seton Hall
Siena,Siena
South Alabama,South Alabama
South Carolina,South Carolina
South Carolina State,South Carolina State
South Dakota State,South Dakota State
South Florida,South Florida
Southeast Missouri State,Southeast Missouri State
Southeastern Louisiana,Southeastern Louisiana
Southern,Southern
Southern California,USC
Southern Illinois,Southern Illinois
Southern Methodist,SMU
Southern Mississippi,Southern Miss
Southern Utah,Southern Utah
St. Bonaventure,St. Bonaventure
St. John's (NY),St. John's (NY)
Stanford,Stanford
Stephen F. Austin,Stephen F. Austin
Stony Brook,Stony Brook
Syracuse,Syracuse
TCU,TCU
Temple,Temple
Tennessee,Tennessee
Tennessee State,Tennessee State
Texas,Texas
Texas A&M,Texas A&M
Texas A&M-Corpus Christi,Texas A&M-Corpus Christi
Texas Southern,Texas Southern
Texas State,Texas State
Texas Tech,Texas Tech
Towson,Towson
Troy,Troy
Tulane,Tulane
Tulsa,Tulsa
UAB,UAB
UC Davis,UC-Davis
UC Irvine,UC-Irvine
UC Santa Barbara,UCSB
UCLA,UCLA
UNC Asheville,UNC Asheville
UNC Greensboro,UNC Greensboro
UNC Wilmington,UNC Wilmington
UT Arlington,UT Arlington
Utah,Utah
Utah State,Utah State
UTEP,UTEP
UTSA,UTSA
Valparaiso,Valparaiso
Vanderbilt,Vanderbilt
Vermont,Vermont
Villanova,Villanova
Virginia,Virginia
Virginia Commonwealth,VCU
Virginia Tech,Virginia Tech
Wagner,Wagner
Wake Forest,Wake Forest
Washington,Washington
Washington State,Washington State
Weber State,Weber State
West Virginia,West Virginia
Western Carolina,Western Carolina
Western Kentucky,Western Kentucky
Western Michigan,Western Michigan
Wichita State,Wichita State
Winthrop,Winthrop
Wisconsin,Wisconsin
Wofford,Wofford
Wright State,Wright State
Wyoming,Wyoming
Xavier,Xavier
Yale,Yale
